TIMESTAMP,ANGLE1,ANGLE2,XPOS,YPOS,XTACHO,YTACHO,XVOLT,YVOLT
257510,7.36264,1.91697,2.37118,2.14164,1.87302,-2.01465,1.10134,-3.93407,
258689,7.36264,1.91697,2.37118,2.14164,1.87302,-2.0293,1.10134,-3.93895,
259865,7.36264,1.91697,2.37118,2.14652,1.87302,-2.07326,1.10134,-3.93895,
261047,7.36264,1.91697,2.37607,2.14164,1.87302,-2.05372,1.10623,-3.93895,
262230,7.35775,1.91697,2.37118,2.14652,1.8779,-2.0293,1.10623,-3.92918,
263410,7.36264,1.91697,2.37118,2.14164,1.87302,-2.06838,1.10623,-3.93407,
264586,7.35775,1.91209,2.37607,2.14652,1.87302,-2.06349,1.10134,-3.93407,
265764,7.35775,1.91209,2.37118,2.14164,1.87302,-2.05861,1.10134,-3.93895,
266965,7.35775,1.91697,2.37607,2.14652,1.8779,-2.08791,1.09646,-3.93895,
268146,7.35775,1.91697,2.37607,2.14652,1.8779,-2.11233,1.10134,-3.93407,
269323,7.35775,1.9072,2.37118,2.14652,1.8779,-2.04884,1.12576,-3.93407,
270506,7.35775,1.9072,2.37118,2.14652,1.8779,-2.10745,1.10134,-3.92918,
271681,7.35775,1.9072,2.37118,2.14652,1.8779,-2.09768,1.10134,-3.92918,
272857,7.35287,1.91209,2.37118,2.1514,1.8779,-2.08303,1.10134,-3.93407,
274033,7.35775,1.9072,2.37118,2.1514,1.8779,-2.14652,1.09646,-3.93895,
275211,7.35287,1.90232,2.37607,2.1514,1.8779,-2.13675,1.09646,-3.93407,
276388,7.35287,1.9072,2.37118,2.1514,1.8779,-2.06838,1.09646,-3.93895,
277570,7.35287,1.9072,2.37607,2.15629,1.8779,-2.1514,1.09646,-3.94383,
278756,7.35287,1.9072,2.37607,2.1514,1.88278,-2.10256,1.10134,-3.93407,
279932,7.35287,1.91209,2.37118,2.15629,1.88278,-2.12698,1.10134,-3.93407,
281110,7.35287,1.9072,2.37607,2.1514,1.88278,-2.18071,1.12576,-3.93895,
282300,7.35287,1.91697,2.37118,2.1514,1.88278,-2.16117,1.10134,-3.93407,
283477,7.35287,1.91697,2.37118,2.15629,1.88278,-2.11722,1.10134,-3.93407,
284654,7.35287,1.91697,2.37118,2.13675,1.8779,-2.17094,1.10134,-3.93407,
285855,7.35287,1.91697,2.37118,2.15629,1.88278,-2.1221,1.10134,-3.92918,
287043,7.35287,1.91697,2.37607,2.14164,1.88278,-2.16606,1.10134,-3.94383,
