STEP1: 11V, no container, 7 container høj
TIME,ANGLE1,ANGLE2,XPOS,YPOS,XTACHO,YTACHO,XVOLT,YVOLT
257148,8.153846,2.214896,2.805861,6.630037,-3.829286,0.119658,10.931403,1.425410,
258301,8.153846,2.214896,2.805861,6.630037,-3.883010,0.119658,10.998685,1.444634,
259455,8.148962,2.219780,2.810745,6.630037,-3.858590,0.119658,10.912179,1.425410,
260610,8.153846,2.219780,2.810745,6.634921,-3.863474,0.119658,10.960238,1.435022,
261766,8.153846,2.219780,2.810745,6.634921,-3.858590,0.119658,10.969850,1.435022,
262923,8.148962,2.219780,2.810745,6.634921,-3.858590,0.119658,10.979462,1.435022,
264081,8.153846,2.224664,2.810745,6.634921,-3.834170,0.119658,10.950626,1.435022,
265234,8.153846,2.224664,2.810745,6.634921,-3.843938,0.119658,11.258201,1.454245,
266393,8.148962,2.229548,2.815629,6.634921,-3.917198,0.119658,10.912179,1.425410,
267548,8.153846,2.229548,2.815629,6.634921,-3.917198,0.119658,10.960238,1.435022,
268703,8.153846,2.234432,2.815629,6.634921,-3.912314,0.119658,10.969850,1.435022,
269856,8.148962,2.234432,2.815629,6.639805,-3.980690,0.119658,10.979462,1.435022,
271011,8.148962,2.239316,2.820513,6.639805,-3.985574,0.119658,10.950626,1.444634,
272208,8.148962,2.239316,2.820513,6.639805,-3.975806,0.119658,10.960238,1.435022,
273362,8.148962,2.239316,2.820513,6.639805,-3.980690,0.119658,10.921791,1.117835,
274523,8.148962,2.244200,2.820513,6.639805,-3.951386,0.119658,10.950626,1.435022,
275678,8.148962,2.244200,2.820513,6.639805,-3.926966,0.119658,10.960238,1.444634,
276835,8.148962,2.249084,2.825397,6.639805,-3.961154,0.119658,10.960238,1.127447,
277990,8.148962,2.249084,2.825397,6.639805,-3.985574,0.119658,10.960238,1.127447,
279150,8.148962,2.249084,2.825397,6.644689,-4.000226,0.119658,10.921791,1.425410,
280308,8.148962,2.249084,2.825397,6.639805,-4.039298,0.119658,10.960238,1.425410,
281462,8.148962,2.253968,2.825397,6.644689,-4.063718,0.119658,10.998685,1.435022,
282616,8.148962,2.253968,2.830281,6.644689,-4.044182,0.119658,10.941015,1.435022,
283769,8.148962,2.253968,2.830281,6.644689,-4.034414,0.119658,10.921791,1.425410,
